county, base_county_rate, mctd_rate
Albany County,4,0
Allegany County,4.5,0
Broome County,4,0
Cattaraugus County,4,0
Cayuga County,4,0
Chautauqua County,4,0
Chemung County,4,0
Chenango County,4,0
Clinton County,4,0
Columbia County,4,0
Cortland County,4,0
Delaware County,4,0
Dutchess County,3.75,0.375
Erie County,4.75,0
Essex County,4,0
Franklin County,4,0
Fulton County,4,0
Genesee County,4,0
Greene County,4,0
Hamilton County,4,0
Herkimer County,4.25,0
Jefferson County,4,0
Lewis County,4,0
Livingston County,4,0
Madison County,4,0
Monroe County,4,0
Montgomery County,4,0
Nassau County,4.25,0.375
New York City,4.5,0.375
Niagara County,4,0
Oneida County,4.75,0
Onondaga County,4,0
Ontario County,3.5,0
Orange County,3.75,0.375
Orleans County,4,0
Oswego County,4,0
Otsego County,4,0
Putnam County,4,0.375
Rensselaer County,4,0
Rockland County,4,0.375
St. Lawrence County,4,0
Saratoga County,3,0
Schenectady County,4,0
Schoharie County,4,0
Schuyler County,4,0
Seneca County,4,0
Steuben County,4,0
Suffolk County,4.375,0.375
Sullivan County,4,0
Tioga County,4,0
Tompkins County,4,0
Ulster County,4,0
Warren County,3,0
Washington County,3,0
Wayne County,4,0
Westchester County,4,0.375
Wyoming County,4,0
Yates County,4,0
